City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
202,Lagoa,PT,39.05,-27.9833,69.67,90,25,15.84,scattered clouds
203,Yeppoon,AU,-23.1333,150.7333,46.18,71,0,5.93,clear sky
204,Esperance,AU,-33.8667,121.9,57.65,83,9,20.22,clear sky
205,Aguimes,ES,27.9054,-15.4461,70.66,73,20,31.07,few clouds
206,Georgetown,MY,5.4112,100.3354,80.53,92,20,0.0,few clouds
207,Aleksandrov Gay,RU,50.147,48.5704,72.7,63,33,14.7,scattered clouds
208,Marsala,IT,37.7966,12.4352,76.95,57,0,5.75,clear sky
209,Kahului,US,20.8947,-156.47,82.42,73,20,23.02,few clouds
210,Kargasok,RU,59.0556,80.8572,49.32,91,70,3.56,broken clouds
211,Bayonet Point,US,28.3267,-82.6834,92.3,74,100,3.0,overcast clouds
212,Port Hardy,CA,50.6996,-127.4199,59.18,88,100,3.44,light rain
213,Constitucion,CL,-35.3333,-72.4167,48.45,84,90,11.86,overcast clouds
214,Lumberton,US,34.6182,-79.0086,88.45,50,100,10.13,overcast clouds
215,Abu Dhabi,AE,24.4667,54.3667,95.11,67,0,3.44,clear sky
216,Roald,NO,62.5833,6.1333,54.16,76,40,9.22,scattered clouds
217,Bambanglipuro,ID,-7.95,110.2833,75.4,92,46,6.91,scattered clouds
218,Keti Bandar,PK,24.1447,67.4497,85.44,78,98,2.98,overcast clouds
219,Mehamn,NO,71.0357,27.8492,55.35,94,75,6.91,moderate rain
220,Sandanski,BG,41.5667,23.2833,69.01,47,0,3.87,clear sky
221,Loja,EC,-3.9931,-79.2042,67.21,67,63,2.04,light rain
222,Popondetta,PG,-8.7537,148.2534,71.67,95,89,2.26,overcast clouds
223,Launceston,AU,-41.45,147.1667,46.04,97,100,6.91,overcast clouds
224,Xapuri,BR,-10.6517,-68.5044,90.61,42,95,6.17,moderate rain
225,San Isidro,PE,-12.1167,-77.05,62.19,72,75,12.66,broken clouds
226,Boda,CF,4.3189,17.4695,70.9,94,100,3.71,light rain
227,Tautira,PF,-17.7333,-149.15,75.43,67,80,22.86,broken clouds
228,Chalmette,US,29.9427,-89.9634,91.45,66,100,6.91,overcast clouds
229,Kisangani,CD,0.5167,25.2,69.67,94,80,2.37,broken clouds
230,Saint-Pierre,RE,-21.3393,55.4781,67.91,83,20,2.3,few clouds
231,Kenora,CA,49.8167,-94.4337,76.17,50,100,8.05,overcast clouds
232,Yebaishou,CN,41.3975,119.6408,66.4,55,2,4.99,clear sky
233,Ostrovnoy,RU,68.0531,39.5131,59.29,90,100,11.86,overcast clouds
234,Tabora,TZ,-5.0167,32.8,67.53,44,13,6.58,few clouds
235,Lubango,AO,-14.9172,13.4925,57.13,37,2,4.54,clear sky
236,San Carlos De Bariloche,AR,-41.1456,-71.3082,36.25,69,75,11.5,broken clouds
237,Warrensburg,US,38.7628,-93.7361,96.57,32,0,11.5,clear sky
238,Te Anau,NZ,-45.4167,167.7167,34.36,95,86,0.18,light snow
239,Alyangula,AU,-13.8483,136.4192,67.86,64,14,14.2,few clouds
240,Menongue,AO,-14.6585,17.691,53.26,49,0,5.23,clear sky
241,Gillette,US,44.2911,-105.5022,94.1,23,0,8.05,clear sky
242,Longyearbyen,SJ,78.2186,15.6401,57.04,67,40,18.41,scattered clouds
243,Biak,ID,-0.9131,122.8766,73.04,93,100,3.69,overcast clouds
244,Matelica,IT,43.2541,13.0106,80.65,34,7,6.2,clear sky
245,Ilabaya,PE,-17.4208,-70.5133,68.99,28,18,6.62,few clouds
246,Saskylakh,RU,71.9167,114.0833,41.86,84,100,5.61,overcast clouds
247,Zhuanghe,CN,39.7008,122.9911,69.26,79,1,4.68,clear sky
248,Shingu,JP,33.7333,135.9833,74.44,95,92,1.61,overcast clouds
249,Narsaq,GL,60.9167,-46.05,61.02,60,100,6.78,overcast clouds
250,Ayan,RU,56.45,138.1667,60.24,95,100,3.2,overcast clouds
251,Talnakh,RU,69.4865,88.3972,49.21,72,99,2.13,overcast clouds
252,Ullapool,GB,57.8987,-5.1604,55.35,92,87,6.73,overcast clouds
